scenario,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
87,0.009498669060150065,0.3842500334145191,0.047571812057867646,0.596924792509526,0.058656990655996645,0.033004279260664834,0.3867286784956376,0.1592263581477875,-0.39404242380195115,0.7106521135006711,1.0896716675925313
88,0.4248445736126814,0.3046776351118129,0.0475164782255888,0.010285555617883801,0.011053373733503949,0.07622222620844792,0.4142860981727403,0.024160819355131445,-0.7303243070393866,0.30759638155873686,1.1130294449558975
89,0.786043814517441,0.12720626916438968,0.8716021366417408,0.9258490905631334,0.04809061505570443,0.052992742584766966,0.029312171705974305,0.27221373287237177,-0.045643354687942866,0.1309963423039524,0.9952781896965803
90,0.04479372538688197,0.1520879061480942,0.6210605672094971,0.3036447416525334,0.001863732717191416,0.024099379355576774,0.23513010493288145,0.46006451442680385,-0.19863398411061628,0.8211111754565295,1.0881611488946945
91,0.1105660210025206,0.0944565646166413,0.37539577088318765,0.29018803499639034,0.09357885263838009,0.06090391903867505,0.7454130383762809,0.2116599858785043,-1.70316549537678,0.41521593524241907,1.1059108341228314
92,0.7233645749774475,0.13785496083583726,0.1345787465106696,0.33418745175004005,0.17257645424687515,0.09057764425945884,0.07091642944708226,0.08188051514510108,0.11892093060272659,0.32247661837412217,0.997602757586179
93,0.05076846023635118,0.2974019131304667,0.56979724345728755,0.4159727671649307,0.08067926967952598,0.2539615766044167,0.007077790454628118,0.1289546616496374,0.6493414397693993,0.8909568538683486,1.037368532039366
94,0.31777291171870414,0.10022879915160515,0.6541651177685708,0.42347886855714023,0.06126628150359856,0.23635073923177852,0.015626442180287917,0.007592160929601726,0.5531781043218919,0.7956505018436605,1.0451665351184414
95,0.23236057244929853,0.12891753309997162,0.26581833860836923,0.7101118825376034,0.6124581302713688,0.4153424752085978,0.1783055986817127,0.0033168904530332024,-0.04527812801648176,0.664213379486991,1.0369468387656333
96,0.035095621580402504,0.15482634801766204,0.9952614090871066,0.6831906533334404,0.28467414726217716,0.05568678268188841,0.05162333876797784,0.1210847636179658,0.4500843621009895,0.8474120997667862,1.0637765156516434
97,0.09896426067512437,0.611742016964838,0.05055169272236526,0.6365428229328245,0.4313503201719711,0.13279873800217903,0.09710725886205328,0.6301518235612869,-0.12968386293441447,0.6068702148064775,1.0335146830858244
98,0.05066834087876957,0.4041286248844198,0.07560172583907843,0.16181756043806672,0.15155397126767903,0.37117071937280177,0.3911488735734314,0.006577052896136587,-0.49502948210702297,0.6853572990461261,1.0918042264370413
99,0.04028564010340816,0.409843324221101,0.25095599330961704,0.20432911929674447,0.025882492451724498,0.17232937332740042,0.13572960406220597,0.35920605687391827,0.19150336232660933,0.8010288920114623,1.0549443161956624
100,0.11884315474633984,0.0050500666196335205,0.010477407369762659,0.35675901523791254,0.19440237820321624,0.0851895036449454,0.21556317699085922,0.4573406050031386,-0.1787575393603838,0.777447128865617,1.0400662031863137
101,0.11813659183720976,0.14662251559698125,0.19794848770834506,0.6515531046316028,0.38531519478566606,0.11128344459217296,0.00948369038028849,0.09711891886188279,0.668624601467495,0.8472732683123195,1.0054754296500599
103,0.01682654756105532,0.04976922281162674,0.5490327728912234,0.4010821282863617,0.0795206622372123,0.11391432187724694,0.14929433983499493,0.14055917382376854,0.3461281802498742,0.9100804585582679,1.05746979779667
104,0.573638886638897,0.08829171687175931,0.6118983398191631,0.40714725223369896,0.009870411426787238,0.02730783349487035,0.2831626714503207,0.42090352922205043,-0.7597407199421409,0.0855963718653236,1.0529940772634223
105,0.33590844532172776,0.04837940722233021,0.26773304655216634,0.9291507520247251,0.16981237654699108,0.16914504533462213,0.27692108643670454,0.01855063087581052,-0.2744413913165744,0.6206135901826885,1.074002937966155
106,0.20988824682735682,0.21865959027223542,0.1303853872232139,0.0825834795832634,0.02083466228887263,0.005750835053680623,0.49032513341097295,0.10857347712472486,-0.8224231909007659,0.5328578828907293,1.113824826453326
107,0.19529936659267955,0.23602181364363073,0.04328996525146067,0.11255029775202273,0.13804145122309502,0.44552633703145106,0.2336396758292858,0.06964226223210887,-0.1117293336728501,0.7387807802230375,1.065858814545701
108,0.11074997292397665,0.6820228854106029,0.8341995230875909,0.9491997638251632,0.06732974948201592,0.27511011155899173,0.027201286196414445,0.5075956435134503,0.05761780197297333,0.5859987024004166,1.0796871903699041
109,0.3100448987232882,0.09038050731046553,0.7629511179402471,0.3663732868153602,0.09904313635438534,0.24715882884813464,0.015388414840835994,0.6399162300726651,0.04208399855019411,0.5660544212572884,1.0392349519953816
110,0.3149331655725833,0.06561361348916125,0.6459629470482469,0.20732367085292935,0.05144138060556465,0.013714277504340875,0.6950374017141873,0.27431892974933975,-1.8015240030499122,0.11018929528284939,1.0955876536198956
111,0.13494964405877352,0.5467414548126035,0.17995764780789614,0.0875149758066982,0.1460267338411426,0.03433973412798942,0.04730401877102115,0.4202510481744048,0.3683920506410697,0.6967731833102883,1.037382284243831
112,0.14934055162747537,0.2433479572698233,0.4812563972081989,0.4638175161089748,0.12577807383883316,0.2990041920475739,0.004529032436375981,0.5758356408713848,0.2473988199984286,0.7501470268420878,1.0331586504703747
